Video ID,View Count,Like Count,Comment Count,Favorite Count,Video Category,Video Published At
y6WL9xjRw6w,692121,93801,2974,0,10,2024-11-22T00:00:06Z
aTuFQnSOKVw,140747,4878,2149,0,25,2024-11-22T00:00:06Z
1IwuPOMoiFs,36311,1896,86,0,22,2024-11-22T00:00:00Z
6vPhcRew8hA,1270694,113768,4820,0,10,2024-11-22T00:00:07Z
8Ikz7VD_B2s,124154,2634,418,0,17,2024-11-21T23:54:16Z
mVHASGmlQ58,7457,238,53,0,23,2024-11-22T08:14:45Z
3JB0ztz7i3A,116276,1470,512,0,25,2024-11-21T23:40:32Z
kNGKxS1dKbw,78562,907,397,0,25,2024-11-21T23:36:26Z
czZSGXSMhGQ,71771,7786,67,0,25,2024-11-21T23:32:37Z
MZZWl2g-zME,799103,19638,3122,0,25,2024-11-21T23:30:03Z
Jh2AWw6g0d8,124479,5554,2689,0,25,2024-11-21T23:30:05Z
Wf19pbXSeD0,59937,1310,384,0,24,2024-11-21T23:30:07Z
HLePJuy3p68,38035,9107,1851,0,22,2024-11-21T23:30:07Z
05GhLEm3ZAc,46311,9466,1648,0,22,2024-11-21T23:30:00Z
Mr7jFVCqMS4,80042,181,0,0,22,2024-11-21T23:27:15Z
to8Th62KZcQ,103261,4857,0,0,24,2024-11-21T23:28:01Z
jowHuiHzfic,97880,9439,1482,0,22,2024-11-21T23:24:46Z
pL79XNohcPo,51264,1361,55,0,24,2024-11-21T23:20:07Z
y5lwfKtEEb0,24378,5030,649,0,22,2024-11-21T23:18:04Z
KlgXh3B-y3Y,111803,5234,1184,0,27,2024-11-21T23:15:02Z
saVRsaz3bDA,296578,11477,260,0,24,2024-11-21T23:14:40Z
Fy_AnKtfoJs,4064,8,17,0,25,2024-11-21T23:14:13Z
Vy3sUNuIYhw,95836,1319,0,0,20,2024-11-21T23:15:01Z
l5EaAkcNt1w,390411,26305,589,0,10,2024-11-21T23:03:54Z
HNv1KZVADfU,136730,0,0,0,25,2024-11-21T23:04:17Z
L1VZRY84GVs,142241,7471,254,0,10,2024-11-21T23:02:37Z
7iKEPVPSMcA,513185,36410,1136,0,10,2024-11-21T23:02:01Z
SDs5YCt9pDE,89472,1894,55,0,22,2024-11-21T23:00:18Z
f9jViTVNfTo,78574,3583,129,0,25,2024-11-21T23:00:05Z
xpS8cKi2a70,52104,2229,23,0,10,2024-11-21T23:01:09Z
o8iA2DcLDUw,82161,3649,266,0,25,2024-11-21T23:00:39Z
RwzYB8F5g6M,108261,1162,231,0,25,2024-11-21T23:00:19Z
Wey571YM9cQ,62144,10511,1034,0,25,2024-11-21T23:00:06Z
yMYAUx9kNl4,207373,3224,0,0,25,2024-11-21T23:00:06Z
E_YCFKqdQ-I,58969,3067,514,0,25,2024-11-21T23:00:32Z
3ez4PHvoFNo,48299,3798,370,0,17,2024-11-21T22:56:02Z
xmhF_5NB1vw,4901,140,23,0,17,2024-11-21T22:54:36Z
KDrtnPTrEN4,13976,1758,151,0,27,2024-11-21T22:51:22Z
CaRX9vJV4UI,422319,22463,1785,0,25,2024-11-21T22:52:26Z
u55rYEZTGjw,52129,4423,2567,0,22,2024-11-21T22:45:21Z
GY5cpzhkCwE,74216,1477,855,0,25,2024-11-21T22:45:00Z
QrUtQ_3sCts,176725,21219,278,0,25,2024-11-21T22:44:11Z
fLIaoe7UZLY,18398,176,154,0,25,2024-11-21T22:44:03Z
8gwWFfYh6e0,132178,21551,688,0,25,2024-11-21T22:42:57Z
Zr-k6qHY64Q,22525,2398,150,0,25,2024-11-21T22:38:26Z
