Video ID,Session,View Count,Like Count,Comment Count,Favorite Count,Video Category,Video Published At
u5us4Y5Q4AY,4,4062,821,12,0,Nonprofits & Activism,2024-10-21T12:01:11Z
jX9vfyAyELE,4,713,6,1,0,Entertainment,2024-10-21T12:00:06Z
IXq9Ex6qLxY,4,22458,1109,93,0,People & Blogs,2024-10-21T11:53:17Z
00-9NCfhVF8,4,12620,1652,30,0,Music,2024-10-21T11:50:09Z
mb5ldcr1jbA,5,278589,1300,0,0,News & Politics,2024-10-21T19:10:34Z
rtLGwJF9Jxc,5,98531,583,0,0,Film & Animation,2024-10-21T18:45:33Z
HAOgdVdSSkA,5,653621,0,6,0,News & Politics,2024-10-21T18:41:24Z
WWeOBvAvwrY,5,74418,8148,1449,0,News & Politics,2024-10-21T18:31:26Z
WunqF6zQnbI,5,62924,1997,57,0,News & Politics,2024-10-21T18:10:08Z
rm4qj0SJKKE,5,61578,1864,217,0,News & Politics,2024-10-21T20:26:07Z
uDvNq7vtGnM,5,5626,201,46,0,Entertainment,2024-10-21T17:38:38Z
p8SIBaDl9PE,5,72525,909,0,0,News & Politics,2024-10-21T17:37:58Z
q_V96gv_IDA,5,112124,1367,0,0,News & Politics,2024-10-21T17:34:17Z
TS6wQl2Gq_Y,5,12093,515,3,0,Gaming,2024-10-21T17:24:21Z
CQMZndfGRWI,5,43260,4543,219,0,People & Blogs,2024-10-21T20:12:23Z
qX6MAp5qQrU,5,122491,7137,125,0,News & Politics,2024-10-21T16:56:12Z
tcAExHTclc4,5,9462,75,0,0,Sports,2024-10-21T16:22:16Z
95RPXz_h2Fw,5,14893,3069,259,0,People & Blogs,2024-10-21T16:13:57Z
6kKE4Rurmmk,5,8345,743,103,0,Comedy,2024-10-21T16:11:11Z
YRyo5vL6XsI,5,40391,5638,89,0,Entertainment,2024-10-21T16:07:27Z
Y8hZ5i0TGIs,5,151358,1177,168,0,News & Politics,2024-10-21T15:52:42Z
JrD7QKy8PUI,5,436,21,1,0,Education,2024-10-21T15:51:16Z
f7v8WJgChU8,5,458,12,0,0,Sports,2024-10-21T15:30:18Z
zToiY455lhQ,5,966888,150192,2693,0,People & Blogs,2024-10-21T15:06:25Z
uDVNRYxIMRE,5,77298,362,0,0,Film & Animation,2024-10-21T15:00:59Z
Yfcs9OPrQz8,5,164610,777,0,0,News & Politics,2024-10-21T15:01:13Z
-n0waD4qzI4,5,19758,422,7,0,Entertainment,2024-10-21T15:00:06Z
qfih0r0sq0c,5,28034,1085,8,0,Gaming,2024-10-21T14:44:32Z
NUzGaZkGTu4,5,82533,398,0,0,Film & Animation,2024-10-21T14:45:49Z
I1cPbwuMc3U,5,242974,636,2,0,News & Politics,2024-10-21T14:29:42Z
3s6uanj_5DY,5,10034,705,74,0,Comedy,2024-10-21T14:26:44Z
XzW21Dj6PIQ,5,2899,251,4,0,Sports,2024-10-21T14:15:02Z
bD-R-2DPzuc,5,629930,14868,217,0,News & Politics,2024-10-21T14:05:31Z
f-Dvm17aVxk,5,13126,379,49,0,Sports,2024-10-21T14:00:42Z
RzQpDaa2044,5,2203419,31325,35,0,Sports,2024-10-21T13:32:11Z
Gs1r0uzedBw,5,1885,238,3,0,Education,2024-10-21T13:31:20Z
F4oaCRpuCtU,5,49707,373,55,0,News & Politics,2024-10-21T13:28:10Z
ng_xV81XhHM,5,6467,38,56,0,News & Politics,2024-10-21T13:03:08Z
